sid,link_name_ezpass,borough_ezpass,polyline_ezpass,link_length_ft_ezpass,aggregation_period_sec_ezpass,n_samples_ezpass,median_calculation_timestamp_ezpass,median_tt_sec_ezpass,median_speed_fps_ezpass,link_name_traffic,borough_traffic,polyline_traffic,link_length_ft_traffic,aggregation_period_sec_traffic,n_samples_traffic,median_calculation_timestamp_traffic,median_tt_sec_traffic,median_speed_fps_traffic
53059,42nd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,ekwwFncrbMlFyP,899.3,900,2,3/16/2026 16:15:01,120.0,7.49,42nd Street - Eastbound - 8th Ave to 7th Ave,Manhattan,ekwwFncrbMlFyP,899.3,0,0,3/15/2026 12:40:12,0.0,0.0
54052,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,ofywFhxpbMtAmE,324.96,900,5,3/16/2026 16:15:01,14.0,23.21,57th Street - Eastbound - 8th Ave to Broadway,Manhattan,ofywFhxpbMtAmE,324.96,900,5,3/15/2026 12:40:12,208.0,1.56
54058,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,mgywFrwpbMqFxP,902.73,900,46,3/16/2026 16:15:01,51.5,17.53,57th Street - Westbound - 8th Ave to 9th Ave,Manhattan,mgywFrwpbMqFxP,902.73,900,27,3/15/2026 12:40:12,89.0,10.14
56052,57th Street - Westbound - 7th Ave to Broadway,Manhattan,_`ywF|epbM_DxJ,598.23,900,2,3/16/2026 16:15:01,185.0,3.23,57th Street - Westbound - 7th Ave to Broadway,Manhattan,_`ywF|epbM_DxJ,598.23,0,0,3/15/2026 12:40:12,0.0,0.0
57053,8th Avenue - Northbound - 34th St to 42nd St,Manhattan,elvwFbzrbMm^}U,2096.63,900,25,3/16/2026 16:15:01,317.0,6.61,8th Avenue - Northbound - 34th St to 42nd St,Manhattan,elvwFbzrbMm^}U,2096.63,900,20,3/15/2026 12:40:12,216.0,9.71
57060,34th Street - Eastbound - 8th Ave to 7th Ave,Manhattan,wkvwFlzrbMlFuP,894.52,900,8,3/16/2026 16:15:01,937.0,0.95,34th Street - Eastbound - 8th Ave to 7th Ave,Manhattan,wkvwFlzrbMlFuP,894.52,0,0,3/15/2026 12:40:12,0.0,0.0
57061,34th Street - Westbound - 8th Ave to 9th Ave,Manhattan,qlvwFzyrbMqFvP,900.47,900,29,3/16/2026 16:15:01,74.0,12.17,34th Street - Westbound - 8th Ave to 9th Ave,Manhattan,qlvwFzyrbMqFvP,900.47,900,44,3/15/2026 12:40:12,84.5,10.66
58039,9th Avenue - Southbound - 57th St to 49th St,Manhattan,onywFviqbMt^bV,2113.33,900,46,3/16/2026 16:15:01,195.5,10.81,9th Avenue - Southbound - 57th St to 49th St,Manhattan,onywFviqbMt^bV,2113.33,900,20,3/15/2026 12:40:12,426.0,4.96
58054,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,}mywFbjqbMjFsP,890.17,900,6,3/16/2026 16:15:01,49.0,18.17,57th Street - Eastbound - 9th Ave to 8th Ave,Manhattan,}mywFbjqbMjFsP,890.17,0,0,3/15/2026 12:40:12,0.0,0.0
58077,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,}nywFhiqbMmFzP,901.6,900,11,3/16/2026 16:15:01,42.0,21.47,57th Street - Westbound - 9th Ave (Columbus Ave) to 10th Ave (Amsterdam Ave),Manhattan,}nywFhiqbMmFzP,901.6,900,5,3/15/2026 12:40:12,62.0,14.54
